audit_id	evidence_type	context	metric	metric_value	n_flagged	failure_state	severity	recommended_action	allowed_interpretation	source_table	method	secondary_metric_value
s2_calibration::KLF1	s2_calibration	KLF1	Storey_pi0	1.148	54	well-calibrated	low	interpretation_ready	S2 can be interpreted with S1.	scripts/table2_s2_calibration.csv		
s2_calibration::CBL	s2_calibration	CBL	Storey_pi0	0.715	173	acceptable	low	use_with_diagnostic	S2 can be used with calibration reporting.	scripts/table2_s2_calibration.csv		
s2_calibration::SLC4A1	s2_calibration	SLC4A1	Storey_pi0	0.665	222	mild over-sensitive	moderate	prefer_s1	Prefer S1 unless S2 has strong external support.	scripts/table2_s2_calibration.csv		
s2_calibration::DUSP9	s2_calibration	DUSP9	Storey_pi0	0.679	460	over-sensitive	high	s1_only	Do not use S2 for positive claims.	scripts/table2_s2_calibration.csv		
s2_calibration::CEBPE	s2_calibration	CEBPE	Storey_pi0	0.246	1063	severely over-sensitive	very_high	s2_caution_only	S2 supports ranking anecdotes only.	scripts/table2_s2_calibration.csv		
s2_calibration::BAK1	s2_calibration	BAK1	Storey_pi0	0.104	1789	catastrophically over-sensitive	critical	s1_only	Treat S2 positives as calibration failure.	scripts/table2_s2_calibration.csv		
s2_nbins::20	s2_parameter_sensitivity	n_bins=20	pi0_and_elane_rank	1.321	66	calibrated_parameter_region	low	eligible_default_with_controls	Parameter setting is compatible with cautious ranking use.	scripts/sensitivity_s2_bins.csv		
s2_nbins::30	s2_parameter_sensitivity	n_bins=30	pi0_and_elane_rank	0.407	387	parameter_over_sensitivity	high	reject_for_primary_analysis	S2 is too sensitive at this bin setting for primary claims.	scripts/sensitivity_s2_bins.csv		
s2_nbins::50	s2_parameter_sensitivity	n_bins=50	pi0_and_elane_rank	0.246	1063	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
s2_nbins::75	s2_parameter_sensitivity	n_bins=75	pi0_and_elane_rank	0.227	1087	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
s2_nbins::100	s2_parameter_sensitivity	n_bins=100	pi0_and_elane_rank	0.226	1087	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
s2_nbins::150	s2_parameter_sensitivity	n_bins=150	pi0_and_elane_rank	0.225	1073	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
norman_decision::KLF1::PGAA_S1_Wasserstein	norman_decision_benchmark	KLF1	auroc_auprc_top100_hits	0.68403125	1	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	PGAA_S1_Wasserstein	0.0251735559187905
norman_decision::KLF1::KS_statistic	norman_decision_benchmark	KLF1	auroc_auprc_top100_hits	0.53653125	1	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	KS_statistic	0.0153219632081373
norman_decision::KLF1::Welch_t_abs	norman_decision_benchmark	KLF1	auroc_auprc_top100_hits	0.42409375	0	negative_or_failure_evidence	high	report_as_failure_or_comparator_limit	Benchmark row should be reported as weak, negative, or comparator-limited evidence.	scripts/norman_multi_perturbation_summary.csv	Welch_t_abs	0.0072508358080136
norman_decision::KLF1::Wilcoxon_neglog10_p	norman_decision_benchmark	KLF1	auroc_auprc_top100_hits	0.49621875	1	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	Wilcoxon_neglog10_p	0.0172641606223529
norman_decision::CEBPE::PGAA_S1_Wasserstein	norman_decision_benchmark	CEBPE	auroc_auprc_top100_hits	0.6441666666666667	2	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	PGAA_S1_Wasserstein	0.0153992895379165
norman_decision::CEBPE::KS_statistic	norman_decision_benchmark	CEBPE	auroc_auprc_top100_hits	0.4974444444444444	0	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	KS_statistic	0.0053688686635207
norman_decision::CEBPE::Welch_t_abs	norman_decision_benchmark	CEBPE	auroc_auprc_top100_hits	0.5699444444444444	0	limited_or_descriptive	moderate	allow_descriptive_claim_only	Benchmark row is useful descriptively but should not carry a strong superiority claim.	scripts/norman_multi_perturbation_summary.csv	Welch_t_abs	0.0053774548366023
