file	line	term	status	text
MANUSCRIPT_CAIC.md	7	clinical	OK_BOUNDED	<sup>3</sup> Clinical Medical Research Center of Hematological Diseases of Guangdong Province, Guangzhou, China
MANUSCRIPT_CAIC.md	14	discovery	OK_BOUNDED	Single-cell perturbation datasets often contain subset-confined responses rather than uniform mean shifts, making target prioritization difficult for average-based analyses. We present PGAA, a distribution-aware computational framework for ranking heterogeneous transcriptional responses in single-cell perturbation data. PGAA combines PGAA-W Wasserstein, a 99-point quantile-grid statistic for full-expression-distribution shifts, with the PGAA-H histogram-shape diagnostic, a secondary diagnostic for responder-associated expression-shape changes. Both statistics use permutation calibration and Storey upper-tail diagnostics. In an Adamson 2016 unfolded-protein-response CRISPRi proof-of-principle benchmark, PGAA-W Wasserstein achieved mean AUROC 0.786 across five pre-specified perturbations and mean AUPRC 0.0191 against a 0.0065 random baseline. A Norman 2019 multi-perturbation CRISPRa extension supported PGAA-W as the default ranking statistic in curated target-panel checks, while the Norman CEBPE contrast illustrated the narrower use of PGAA-H: ELANE ranked 57/2012 as ranking evidence, not FDR-controlled discovery. A processed-source-data MMD-PSM comparison and observational single-cell datasets are retained as bounded comparator and marker-recovery stress checks. PGAA provides a reproducible ranking layer for hypothesis generation in perturbation and single-cell disease-model analyses, with Python/R software, public code and a supplementary reproducibility archive.
MANUSCRIPT_CAIC.md	14	fdr	OK_BOUNDED	Single-cell perturbation datasets often contain subset-confined responses rather than uniform mean shifts, making target prioritization difficult for average-based analyses. We present PGAA, a distribution-aware computational framework for ranking heterogeneous transcriptional responses in single-cell perturbation data. PGAA combines PGAA-W Wasserstein, a 99-point quantile-grid statistic for full-expression-distribution shifts, with the PGAA-H histogram-shape diagnostic, a secondary diagnostic for responder-associated expression-shape changes. Both statistics use permutation calibration and Storey upper-tail diagnostics. In an Adamson 2016 unfolded-protein-response CRISPRi proof-of-principle benchmark, PGAA-W Wasserstein achieved mean AUROC 0.786 across five pre-specified perturbations and mean AUPRC 0.0191 against a 0.0065 random baseline. A Norman 2019 multi-perturbation CRISPRa extension supported PGAA-W as the default ranking statistic in curated target-panel checks, while the Norman CEBPE contrast illustrated the narrower use of PGAA-H: ELANE ranked 57/2012 as ranking evidence, not FDR-controlled discovery. A processed-source-data MMD-PSM comparison and observational single-cell datasets are retained as bounded comparator and marker-recovery stress checks. PGAA provides a reproducible ranking layer for hypothesis generation in perturbation and single-cell disease-model analyses, with Python/R software, public code and a supplementary reproducibility archive.
MANUSCRIPT_CAIC.md	29	causal	OK_BOUNDED	We evaluate PGAA across experimental Perturb-seq benchmarks, simulation ablations, distribution-aware comparators, and external marker-recovery stress checks. Adamson 2016 UPR CRISPRi and Norman 2019 CRISPRa provide real perturbation benchmarks with complementary response regimes. The Norman analyses include a multi-perturbation PGAA-W extension across KLF1, CEBPE, and CEBPA with KS as an additional distribution-aware baseline, followed by a focused CEBPE PGAA-H example. Simulations define the operating regimes of the Wasserstein and PGAA-H histogram-shape diagnostics. A processed-source-data MMD-PSM comparison is included as an additional distribution-aware baseline for the Norman CEBPE contrast. Observational scRNA-seq datasets in chronic lymphocytic leukemia (CLL), sepsis, rheumatoid arthritis, inflammatory bowel disease, and PBMCs are used only to ask whether distributional ranking can recover known marker biology in medically relevant single-cell contexts. These analyses support marker recovery rather than causal interpretation, and Table 1 states the evidence level assigned to each analysis class.
MANUSCRIPT_CAIC.md	36	genome-wide	OK_BOUNDED	| Multi-perturbation CRISPRa extension | Norman 2019 KLF1, CEBPE, CEBPA | Compare PGAA-W Wasserstein against KS, Welch t, and Wilcoxon on curated target-program panels | Curated panel recovery rather than original genome-wide DEG gold standard; top-rank recovery remains sparse |
MANUSCRIPT_CAIC.md	39	biomarker	OK_BOUNDED	| External marker recovery | CLL, sepsis, rheumatoid arthritis, inflammatory bowel disease, PBMC | Bounded recovery check of known marker biology in public scRNA-seq data | Observational marker prioritization only; not causal or clinical biomarker evidence |
MANUSCRIPT_CAIC.md	39	clinical	OK_BOUNDED	| External marker recovery | CLL, sepsis, rheumatoid arthritis, inflammatory bowel disease, PBMC | Bounded recovery check of known marker biology in public scRNA-seq data | Observational marker prioritization only; not causal or clinical biomarker evidence |
MANUSCRIPT_CAIC.md	39	causal	OK_BOUNDED	| External marker recovery | CLL, sepsis, rheumatoid arthritis, inflammatory bowel disease, PBMC | Bounded recovery check of known marker biology in public scRNA-seq data | Observational marker prioritization only; not causal or clinical biomarker evidence |
MANUSCRIPT_CAIC.md	53	discovery	OK_BOUNDED	PGAA is designed as a modular computational ranking layer for heterogeneous single-cell responses. The Wasserstein statistic is the primary starting score for full-distribution shifts, whereas the PGAA-H histogram-shape diagnostic is a secondary diagnostic for responder-associated expression-shape changes. The framework first adjusts expression for coarse cell-state and library-size effects, then ranks genes by distributional discrepancy between perturbed and control cells. Within-cluster permutation is used to provide empirical ranking evidence, and the Storey upper-tail diagnostic is used as a guardrail for calibration rather than as a guarantee of genome-wide discovery.
MANUSCRIPT_CAIC.md	53	genome-wide	OK_BOUNDED	PGAA is designed as a modular computational ranking layer for heterogeneous single-cell responses. The Wasserstein statistic is the primary starting score for full-distribution shifts, whereas the PGAA-H histogram-shape diagnostic is a secondary diagnostic for responder-associated expression-shape changes. The framework first adjusts expression for coarse cell-state and library-size effects, then ranks genes by distributional discrepancy between perturbed and control cells. Within-cluster permutation is used to provide empirical ranking evidence, and the Storey upper-tail diagnostic is used as a guardrail for calibration rather than as a guarantee of genome-wide discovery.
MANUSCRIPT_CAIC.md	55	discovery	OK_BOUNDED	Figure 1 summarizes the response-regime problem and the analysis workflow. The figure intentionally separates the default PGAA-W score from the secondary PGAA-H diagnostic, because the benchmarks below support a hierarchy rather than two interchangeable discovery tests.
MANUSCRIPT_CAIC.md	83	discovery	OK_BOUNDED	Across the three perturbations, PGAA-W Wasserstein produced higher target-panel AUROC than the KS statistic, Welch t statistic, or Wilcoxon rank-sum score in this curated-panel benchmark (Supplementary Table 3). The effect was not a claim of high-precision discovery: only 1-2 positive genes appeared in the top 100 for each PGAA-W run, and AUPRC values must be read against random baselines of 0.0045-0.0079. The result is therefore useful as a broader perturbation-level ranking check for PGAA-W, not as a substitute for genome-scale perturbation validation or original-study DEG benchmarking.
MANUSCRIPT_CAIC.md	87	clinical	OK_BOUNDED	Norman *et al.* (2019) used CRISPRa to activate CEBPE in a K562 Perturb-seq screen \textsuperscript{3}; K562 is a human leukemia cell line \textsuperscript{12}. CEBPE is a myeloid transcription factor whose known targets include nine neutrophil granule proteins: ELANE, AZU1, MPO, LYZ, CTSG, GFI1, PRTN3, DEFA1, and RNASE2 \textsuperscript{13,14}. This benchmark is not a clinical disease cohort, but it is relevant to hematologic differentiation biology and tests the response regime that motivated PGAA: a regulator is activated, but the downstream expression response may be heterogeneous across cells.
MANUSCRIPT_CAIC.md	91	discovery	OK_BOUNDED	The PGAA-H histogram-shape diagnostic (n_bins = 20, 500 permutations) ranks ELANE at position 57 (p = 0.04), a 25-fold rank improvement over the Wasserstein statistic (Table 3). With 500 permutations, this p-value is interpreted as ranking evidence rather than genome-wide significance, and no FDR-controlled CEBPE gene discovery is claimed. The p-value distribution is acceptable in this pre-specified setting (uncapped Storey upper-tail ratio = 1.32 with 200 permutations in the sensitivity run; approximately 1.0 with 500 permutations). The top genes by raw PGAA-H value (SLC45A1, DLX2, ATP5E) are not known CEBPE targets; ELANE's stronger rank by permutation p-value reflects its favorable null distribution relative to other genes. Across the full nine-gene CEBPE target set, only ELANE reaches p < 0.05 in the PGAA-H analysis; PRTN3 is also within the top 100 by permutation p-value but does not pass the nominal threshold (p = 0.068). The AUROC is 0.476 and AUPRC is 0.0076. Thus, the Norman result should be read as a focused ELANE/PRTN3 ranking signal, not broad recovery of the complete granulocytic target program. As a calibration check, we applied the PGAA-H diagnostic to all six perturbations using the CEBPE target gene set as the reference positive set. ELANE was ranked strongly for CEBPE and also for the severely over-sensitive BAK1 perturbation, where the tail ratio was 0.10. For the well-calibrated KLF1 perturbation, ELANE was not supported (p = 0.70, uncapped tail ratio = 1.15). For CBL, SLC4A1, and DUSP9, ELANE p-values were 0.58, 0.16, and 0.90 respectively. This analysis is treated as perturbation-level calibration context rather than specificity proof; over-sensitive perturbations should not be interpreted as formal discoveries. Target-level details are provided in Supplementary Table 4.
