claim_id	figure_panel	evidence_type	context	method	metric	metric_value	secondary_metric_value	result_claim_state	internal_failure_state	severity	recommended_action	manuscript_allowed_claim	technical_interpretation	source_table	pseudo_overlap	holm_adjusted_p
s2_calibration::KLF1	calibration_guardrail	s2_calibration	KLF1		Storey_pi0	1.148		calibration_support	well-calibrated	low	interpretation_ready	Calibration supports cautious interpretation of this statistic.	S2 can be interpreted with S1.	scripts/table2_s2_calibration.csv		
s2_calibration::CBL	calibration_guardrail	s2_calibration	CBL		Storey_pi0	0.715		calibration_support	acceptable	low	use_with_diagnostic	Use only with the calibration diagnostic shown.	S2 can be used with calibration reporting.	scripts/table2_s2_calibration.csv		
s2_calibration::SLC4A1	calibration_guardrail	s2_calibration	SLC4A1		Storey_pi0	0.665		restricted_use	mild over-sensitive	moderate	prefer_s1	Prefer PGAA-W unless PGAA-H has independent support.	Prefer S1 unless S2 has strong external support.	scripts/table2_s2_calibration.csv		
s2_calibration::DUSP9	calibration_guardrail	s2_calibration	DUSP9		Storey_pi0	0.679		failure_or_guardrail	over-sensitive	high	s1_only	Do not use PGAA-H for primary positive claims in this context.	Do not use S2 for positive claims.	scripts/table2_s2_calibration.csv		
s2_calibration::CEBPE	calibration_guardrail	s2_calibration	CEBPE		Storey_pi0	0.246		restricted_use	severely over-sensitive	very_high	s2_caution_only	PGAA-H can support ranking anecdotes only, not broad discovery claims.	S2 supports ranking anecdotes only.	scripts/table2_s2_calibration.csv		
s2_calibration::BAK1	calibration_guardrail	s2_calibration	BAK1		Storey_pi0	0.104		failure_or_guardrail	catastrophically over-sensitive	critical	s1_only	Do not use PGAA-H for primary positive claims in this context.	Treat S2 positives as calibration failure.	scripts/table2_s2_calibration.csv		
s2_nbins::20	parameter_guardrail	s2_parameter_sensitivity	n_bins=20		pi0_and_elane_rank	1.321		calibration_support	calibrated_parameter_region	low	eligible_default_with_controls	Parameter setting is eligible only with control diagnostics shown.	Parameter setting is compatible with cautious ranking use.	scripts/sensitivity_s2_bins.csv		
s2_nbins::30	parameter_guardrail	s2_parameter_sensitivity	n_bins=30		pi0_and_elane_rank	0.407		failure_or_guardrail	parameter_over_sensitivity	high	reject_for_primary_analysis	Reject this setting for primary analysis.	S2 is too sensitive at this bin setting for primary claims.	scripts/sensitivity_s2_bins.csv		
s2_nbins::50	parameter_guardrail	s2_parameter_sensitivity	n_bins=50		pi0_and_elane_rank	0.246		failure_or_guardrail	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Use only as a parameter-sensitivity failure demonstration.	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
s2_nbins::75	parameter_guardrail	s2_parameter_sensitivity	n_bins=75		pi0_and_elane_rank	0.227		failure_or_guardrail	severe_parameter_over_sensitivity	very_high	do_not_tune_on_positive_case	Use only as a parameter-sensitivity failure demonstration.	Bin setting creates too many nominal positives; use only as failure demonstration.	scripts/sensitivity_s2_bins.csv		
