target_gene	unit_id	validation_priority	candidate_dataset_id	source_name	accession_or_url	cell_context	perturbation_modality	candidate_scope	target_coverage_status	data_access_status	same_context_class	pgaa_rerun_feasibility	claim_use	required_next_check	source_note
BHLHE40	adamson_decision_benchmark::BHLHE40_pDS258	tier1_replication_candidate	replogle_2022_k562_limited_panels	Replogle et al. 2022 K562 focused or essential panels	https://doi.org/10.1016/j.cell.2022.05.013	K562	CRISPRi Perturb-seq	limited_or_context_specific_single_cell_candidate	unverified	primary_publication_identified_target_metadata_required	near_context_limited_panel	metadata_access_check_required	background_candidate_only_not_replication	verify target coverage, control metadata, and single-cell matrix accessibility before use	Useful as a public-data search route, but limited panels may not contain the required Adamson Tier 1 targets.
BHLHE40	adamson_decision_benchmark::BHLHE40_pDS258	tier1_replication_candidate	scperturb_replogle_k562_index	scPerturb harmonized Replogle K562 index/search route	https://github.com/sanderlab/scPerturb	K562	CRISPRi Perturb-seq	harmonized_index_or_mirror_candidate	unverified	index_identified_metadata_check_required	near_context_limited_panel	metadata_access_check_required	background_candidate_only_not_replication	verify target coverage, control metadata, and single-cell matrix accessibility before use	Access route only; not a separate biological source and still requires target coverage and control metadata verification.
BHLHE40	adamson_decision_benchmark::BHLHE40_pDS258	tier1_replication_candidate	processed_signature_indexes	Processed Perturb-seq signature indexes and summaries	manual_search_required	mixed_or_unspecified	mixed_or_unspecified	processed_signature_or_index_only	unverified	summary_or_index_only	processed_signature_or_index_only	not_pgaa_rerunnable	source_discovery_only_not_replication	use only as a pointer to primary data; do not use processed signatures as PGAA replication evidence	Can help locate primary data, but processed signatures alone are not PGAA-rerunnable replication evidence.
BHLHE40	adamson_decision_benchmark::BHLHE40_pDS258	tier1_replication_candidate	replogle_2022_k562_gwps	Replogle et al. 2022 K562 genome-scale Perturb-seq processed datasets	https://plus.figshare.com/articles/dataset/_Mapping_information-rich_genotype-phenotype_landscapes_with_genome-scale_Perturb-seq_Replogle_et_al_2022_processed_Perturb-seq_datasets/20029387	K562	CRISPRi Perturb-seq	genome_scale_single_cell_candidate	verified_present	download_page_identified_bulk_target_coverage_verified_singlecell_available	same_context_candidate_target_verified	rerun_feasible_after_import	candidate_for_external_rerun_not_yet_replication	import expression matrix and perturbation metadata; rerun PGAA and comparator claim-state gates	Same cell line and CRISPRi/Perturb-seq modality candidate; bulk h5ad metadata verifies priority target coverage, but PGAA distributional rerun still requires importing the matching single-cell h5ad.
CREB1	adamson_decision_benchmark::CREB1_pDS269	tier1_replication_candidate	replogle_2022_k562_limited_panels	Replogle et al. 2022 K562 focused or essential panels	https://doi.org/10.1016/j.cell.2022.05.013	K562	CRISPRi Perturb-seq	limited_or_context_specific_single_cell_candidate	unverified	primary_publication_identified_target_metadata_required	near_context_limited_panel	metadata_access_check_required	background_candidate_only_not_replication	verify target coverage, control metadata, and single-cell matrix accessibility before use	Useful as a public-data search route, but limited panels may not contain the required Adamson Tier 1 targets.
CREB1	adamson_decision_benchmark::CREB1_pDS269	tier1_replication_candidate	scperturb_replogle_k562_index	scPerturb harmonized Replogle K562 index/search route	https://github.com/sanderlab/scPerturb	K562	CRISPRi Perturb-seq	harmonized_index_or_mirror_candidate	unverified	index_identified_metadata_check_required	near_context_limited_panel	metadata_access_check_required	background_candidate_only_not_replication	verify target coverage, control metadata, and single-cell matrix accessibility before use	Access route only; not a separate biological source and still requires target coverage and control metadata verification.
CREB1	adamson_decision_benchmark::CREB1_pDS269	tier1_replication_candidate	processed_signature_indexes	Processed Perturb-seq signature indexes and summaries	manual_search_required	mixed_or_unspecified	mixed_or_unspecified	processed_signature_or_index_only	unverified	summary_or_index_only	processed_signature_or_index_only	not_pgaa_rerunnable	source_discovery_only_not_replication	use only as a pointer to primary data; do not use processed signatures as PGAA replication evidence	Can help locate primary data, but processed signatures alone are not PGAA-rerunnable replication evidence.
CREB1	adamson_decision_benchmark::CREB1_pDS269	tier1_replication_candidate	replogle_2022_k562_gwps	Replogle et al. 2022 K562 genome-scale Perturb-seq processed datasets	https://plus.figshare.com/articles/dataset/_Mapping_information-rich_genotype-phenotype_landscapes_with_genome-scale_Perturb-seq_Replogle_et_al_2022_processed_Perturb-seq_datasets/20029387	K562	CRISPRi Perturb-seq	genome_scale_single_cell_candidate	verified_present	download_page_identified_bulk_target_coverage_verified_singlecell_available	same_context_candidate_target_verified	rerun_feasible_after_import	candidate_for_external_rerun_not_yet_replication	import expression matrix and perturbation metadata; rerun PGAA and comparator claim-state gates	Same cell line and CRISPRi/Perturb-seq modality candidate; bulk h5ad metadata verifies priority target coverage, but PGAA distributional rerun still requires importing the matching single-cell h5ad.
DDIT3	adamson_decision_benchmark::DDIT3_pDS263	tier1_replication_candidate	replogle_2022_k562_limited_panels	Replogle et al. 2022 K562 focused or essential panels	https://doi.org/10.1016/j.cell.2022.05.013	K562	CRISPRi Perturb-seq	limited_or_context_specific_single_cell_candidate	unverified	primary_publication_identified_target_metadata_required	near_context_limited_panel	metadata_access_check_required	background_candidate_only_not_replication	verify target coverage, control metadata, and single-cell matrix accessibility before use	Useful as a public-data search route, but limited panels may not contain the required Adamson Tier 1 targets.
DDIT3	adamson_decision_benchmark::DDIT3_pDS263	tier1_replication_candidate	scperturb_replogle_k562_index	scPerturb harmonized Replogle K562 index/search route	https://github.com/sanderlab/scPerturb	K562	CRISPRi Perturb-seq	harmonized_index_or_mirror_candidate	unverified	index_identified_metadata_check_required	near_context_limited_panel	metadata_access_check_required	background_candidate_only_not_replication	verify target coverage, control metadata, and single-cell matrix accessibility before use	Access route only; not a separate biological source and still requires target coverage and control metadata verification.
