unit_id	evidence_type	context	omitted_method	omitted_method_role	omitted_method_is_pgaa	baseline_decision_state	perturbed_decision_state	state_preserved	perturbed_primary_method	cross_dataset_status
adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	MAST	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	PGAA-H histogram-shape	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	PGAA-W Wasserstein	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	Wilcoxon rank-sum	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	t-test	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	MAST	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	PGAA-H histogram-shape	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	PGAA-W Wasserstein	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	Wilcoxon rank-sum	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	t-test	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	MAST	failure_or_guardrail	False	supported_responder_state	supported_responder_state	True	PGAA-H histogram-shape	no_cross_dataset_same_context
adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	PGAA-H histogram-shape	supporting	True	supported_responder_state	supported_responder_state	True	PGAA-W Wasserstein	no_cross_dataset_same_context
