upgrade_id	pillar_id	pillar_name	upgrade_point	elevation_type	manuscript_role	evidence_gate	current_status	next_action	claim_boundary	priority_tier
P01.01	P01	Claim-state compiler	Define PGAA as an evidence-to-claim compiler rather than a ranking statistic.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.02	P01	Claim-state compiler	Treat each benchmark row as a typed claim object with allowed manuscript language.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.03	P01	Claim-state compiler	Attach claim ceilings directly to source rows instead of Discussion caveats.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.04	P01	Claim-state compiler	Make descriptive, restricted, and failure rows first-class method outputs.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.05	P01	Claim-state compiler	Separate numerical strength from evidentiary permission.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.06	P01	Claim-state compiler	Expose the transformation from metric value to manuscript claim state.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.07	P01	Claim-state compiler	Convert reviewer objections into explicit compiler checks.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.08	P01	Claim-state compiler	Let unsupported language fail a claim audit before submission.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.09	P01	Claim-state compiler	Make the manuscript text a rendered artifact of evidence states.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P01.10	P01	Claim-state compiler	Use claim compilation as the main novelty rather than an auxiliary QC layer.	from score output to evidence-to-claim translation	central framing	result_claim_states plus manuscript audit	implemented_in_executable_recharter_chain	Validate claim ceilings through additional external datasets and prospective source-row stress tests.	claim language must be compiled from source evidence rows	tier1_core_thesis
P02.01	P02	Failure-preserving benchmark engine	Preserve failed, blocked, and restricted rows in the primary benchmark object.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.02	P02	Failure-preserving benchmark engine	Report calibration failures as results rather than hiding them in limitations.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.03	P02	Failure-preserving benchmark engine	Use parameter sensitivity as a claim limiter.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.04	P02	Failure-preserving benchmark engine	Make negative controls part of the main evidence architecture.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.05	P02	Failure-preserving benchmark engine	Score methods by whether they preserve the right claim ceiling.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.06	P02	Failure-preserving benchmark engine	Represent benchmark failure modes as an interpretable taxonomy.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
P02.07	P02	Failure-preserving benchmark engine	Create a route where failure is informative rather than embarrassing.	from winner-take-all benchmark to failure-aware benchmark governance	methods contribution	failure_mode_audit and claim_panel_summary	partially_implemented_in_current_recharter	Make failure-preserving benchmark governance a named Methods subsection.	failure and guardrail rows cannot be promoted to support claims	tier1_core_thesis
