branch_state	branch_assignment_rule	treatment_arm	analysis_unit	dose_strategy	batch_control	sampling_schedule	minimum_biological_replicates	primary_endpoint	mechanistic_endpoints	positive_prediction	primary_analysis	success_rule
branch_weak	early DTP or low frozen adaptive-stress score	DMSO	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_weak	early DTP or low frozen adaptive-stress score	osimertinib	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_weak	early DTP or low frozen adaptive-stress score	osimertinib_plus_AZD1390	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_weak	early DTP or low frozen adaptive-stress score	osimertinib_plus_AZD0156	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_weak	early DTP or low frozen adaptive-stress score	osimertinib_plus_quisinostat	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_strong	late DTP or high frozen adaptive-stress score	DMSO	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_strong	late DTP or high frozen adaptive-stress score	osimertinib	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_strong	late DTP or high frozen adaptive-stress score	osimertinib_plus_AZD1390	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_strong	late DTP or high frozen adaptive-stress score	osimertinib_plus_AZD0156	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
branch_strong	late DTP or high frozen adaptive-stress score	osimertinib_plus_quisinostat	biological replicate nested within branch state and treatment arm	matrix dose-response for ATM arms; matched low-nontoxic dose for HDAC secondary arm	balance branch_state across plate, passage, and experiment day	PC9 day 0/7/14/28 with regrowth follow-up after withdrawal; HCC4006 bridge at day 0/3/7/14	4	added benefit over osimertinib in confluence or viable-cell area under curve	EdU, gammaH2AX, phospho-KAP1, phospho-RPA, regrowth after withdrawal	ATM added benefit is larger in branch_strong than branch_weak states	linear mixed model with branch_state, treatment_arm, and branch_state:treatment_arm interaction; add plate or experiment_day random intercepts when pooled; report interaction effect size and confidence interval	positive ATM interaction for AZD1390 or AZD0156 plus concordant EdU or DNA-damage marker direction on at least one mechanistic readout
